record_id,flood_indicator,country_code,week,temperature_celsius,pm25_ugm3,region,gdp_per_capita_usd,month,precipitation_mm,mental_health_index,year,longitude,food_security_index,latitude,healthcare_access_index,drought_indicator,income_level,extreme_weather_events,heat_wave_days,date,country_name,population_millions,air_quality_index,temp_anomaly_celsius,health_risk_class
64,0.0,PHL  ,,16.01,115.4,SEA,3021.0,7.0,  110.3,72.9,2017.0	,121.77,,12.87,38.8,0.0,Lower-Middle,0.0,0.0,20170702,Philippines,110.0,177.0,0.08,2
65,0.0,COL,42.0,16.09,32.6,South America,8729.0,10.0,24.7,,2015.0,-74.29,,4.57,61.3,0.0,,0.0,0.0,18-Oct-2015,Colombia,51.0,33.0,-0.71,0
66,,CAN,2.0,-8.82,49.2,North America,40195.0,1.0,69.8,71.6,2018.0,-106.34,93.0,56.13,,0.0,High,0.0,0.0,14.01.2018,Canada,38.0,100.0,-0.1,1
67,0.0,ESP,Week 24,,57.9,europe,57236.0,6.0,61.5,,2019.0,-3.74,,40.46,78.9,0.0,,0.0,0.0,16.06.2019,Spain,47.0,73.0,0.78,0
68,0.0,DEU,25.0,-2.82,64.6,Europe,74321.0,6.0,49.5,72.4,2022.0,10.45,94.4,,83.8,0.0,High,0.0,0.0,2022/06/26,Germany,83.0,80.0,-0.4,1
69,0.0,U.S.A,12.0,,43.6,North America,67650.0,3.0,139.7,,,-95.71,,37.09,80.7,0.0,High,0.0,0.0,"March 25, 2018",United States,331.0,,-0.51,1
70,0.0,CAN,34.0,-18.21,,North America,40637.0,8.0,11.7,,2018.0,-106.34,,56.13,84.3,0.0,High	,0.0,0.0,08-26-2018,Canada,38.0,62.0,-0.68,0
71,0.0,DEU,49.0,-8.6,19.2,Europe,69798.0,12.0,57.6,69.9,2018.0,10.45,95.0,51.16,,0.0,Rich,0.0,0.0,20181209,Germany,83.0,22.0,-0.1,0
72,0.0,FRA,,-6.47,52.0,EU,,12.0,80.1,80.0,2019.0,2.21,,46.22,87.2,0.0,Rich,0.0,0.0,737394,France,65.0,,0.21,0
73,0.0,AUS,51.0,12.38,46.1,Oceania,49174.0,12.0,54.7,69.0,,133.77,,-25.27,79.5,0.0,High,0.0,0.0,26/12/2021,Commonwealth of Australia,26.0,66.0,0.35,0
74,,IND,Week 45,7.54  ,113.0,South Asia,2511.0,11.0,46.2,,2015.0,78.96,96.1,20.59,48.2,0.0,Lower-Middle,0.0,0.0,2015-11-08,Indira	,1380.0,,-0.19,2
75,0.0,USA,38.0,-5.12,62.6,Northern America,74638.0,9.0,60.8,65.6,2023.0,-95.71,,37.09,79.9,0.0,High,0.0,0.0,24/09/2023,United States,331.0,91.0,0.17,0
76,0.0,FRA,23.0,1.79,39.6,Europe,68864.0,6.0,93.7	,,2022.0,,99.1,46.22,86.5,0.0,High,0.0,0.0,06-12-2022,France,65.0,72.0,0.69,1
77,0.0,CAN,51.0,-10.91,19.8,Northern America,42404.0,12.0,81.6,,2020.0,,95.1,56.13,84.4,No,High,0.0,0.0,12-20-2020,Canada,38.0,54.0,0.12,1
78,0.0,CAN,  40.0,-19.85,16.0,North America,43035.0,10.0,47.5,63.2,,-106.34,100.0,56.13,84.5,0.0,High,0.0,0.0,10.10.2021,Canada,38.0,47.0,-0.22,0
79,0.0,PHL,5.0,NA,127.0,  Southeast Asia,3112.0,2.0,121.5,64.2,2019.0,121.77,,12.87,37.5,FALSE,Lower Middle,0.0,0.0,03/02/2019,Philippines,110.0,192.0,-1.0,2
80,0.0,NGA,16.0,29.82,49.3,African Continent,2727.0,4.0,108.7,75.6,2021.0,8.67,,9.08,,0.0,Lower-Middle,0.0,0.0,25.04.2021,Nigeria,,62.0,-0.17,3
81,0.0,CAN,47.0,,51.6,Northern America,44612.0,11.0,55.0,67.3,2023.0,,100.0,56.13,,0.0,High,0.0,0.0,26.11.2023,CANADA,38.0,92.0,-0.34,0
82,0.0,EGY,41.0,3.86,165.3,Africa,4596.0,10.0,20.4,61.4,2025.0,30.8,,26.82,37.0,0.0,Lower-Middle,0.0,0.0,739536,Egypt,102.0,234.0,0.1,2
83,0.0,VNM,28.0,  16.4,127.1,Southeast Asia,3402.0,7.0,,,2015.0,108.27,86.0,14.05,40.6,0.0,Lower-Middle,0.0,0.0,20150712,Vietnam,98.0,168.0,-0.13,2
84,0.0,CHN,,7.26,71.7,East Asia,12610.0,6.0,104.7,67.9,,104.19,,35.86,,,UPPER-MIDDLE,0.0,0.0,02-Jun-2019,China,1411.0,97.0,0.36,2
85,0.0,ESP,50.0,-0.61,30.2,Europe,63013.0,12.0,63.3,66.2,2024.0,-3.74,,40.46,,0.0,,0.0,0.0,20241215,Spain  ,47.0,46.0,1.26,0
86,0.0,EGY,39.0,-0.54,72.2,Africa,4515.0,9.0,2.3228346456692917,74.9,2024.0,,,26.82,,0.0,Lower-Middle,0.0,0.0,2024-09-29,Egypt,102.0,112.0,0.27,2
87,0.0,VNM,39.0,9.95,,southeast asia,3822.0,10.0,31.3,70.7,2021.0,108.27,,14.05,,,Emerging,0.0,0.0,03/10/2021,Vietnam,98.0,98.0,-0.12,1
88,False,IDN,19.0,30.88,118.2,Southeast Asia,2835.0,5.0,111.8,72.2,2022.0,113.92,92.7,-0.78,,0.0,Lower Middle,,1.0,20220515,INDONESIA,274.0,207.0,0.79,3
89,0.0,BGD,18.0,19.56,96.9,South Asia,1700.0,5.0,55.7,65.1,2019.0  ,90.35,,23.68,32.7,0.0,Lower-Middle,0.0,0.0,31/02/2020,Bangladesh,165.0,130.0,-0.22,1
90,0.0,CAN,12.0,0.84,45.4,North America,45622.0,3.0,156.5,67.3,2025.0,,96.3,56.13,87.5,,High,0.0,0.0,2025/03/23,Canada,38.0,33.0,,2
91,0.0,KEN,48.0,,106.5,Africa,2459.0,12.0,0.6,79.4,2022.0,37.9,82.2,-0.02,44.2,1.0,Lower-Middle,1.0,0.0,04/12/2022,Kenya,54.0,160.0,-0.5,1
92,no,ZAF,34.0,0.9,50.9,Africa,10344.0,8.0,63.1,76.2,2024.0,22.93,94.6,-30.55,78.9,0.0,Upper-Middle,0.0,0.0,25-Aug-2024,South Africa,60.0,105.0,-0.56,0
93,0.0,GBR,45.0,-12.02,36.6,Europe,63290.0,11.0,60.3,71.4,2019.0,-3.43,100.0,55.37,,0.0,High,0.0,0.0,10.11.2019,United Kingdom,67.0,81.0,-0.31,0
94,0.0,NGA,54,  9.97,134.7,Africa,2800.0,,68.4,,2022.0,8.67,94.0,9.08,,0.0,LOWER-MIDDLE,0.0,0.0,10-16-2022	,Nigeria,,203.0,0.16,3
95,0.0,ARG,8.0,12.3,61.9,South America,,2.0,151.4,67.9,2016.0,-63.61,,-38.41,61.6,0.0,Upper-Middle,0.0,0.0,736022,Argentina,,85.0,0.3,2
96,0.0,IDN,12.0,31.52,114.9,Southeast Asia,2826.0,3.0,4.086614173228346,,2022.0,113.92,91.2,-0.78,,,Lower-Middle,0.0,0.0,2022-03-27,Republic of Indonesia,274.0,152.0,-0.2,3
97,0.0,  EGY,  11.0  ,17.27,114.1,,4250.0,3.0,109.0,76.1,2021.0,30.8,,26.82,34.9,0.0,Lower-Middle,2.0,2.0,21-Mar-2021,Egypt,102.0,174.0,,3
98,,COL,,27.55,12.9,South America,9674.0,4.0,  72.1  ,71.6,2021.0,-74.29,100.0,4.57,,0.0,Upper-Middle,1.0,,20210404,Colombia,51.0,,0.25,1
99,,ITA,52.0,,41.3,,43031.0,1.0,120.8,81.6,,,100.0,41.87,90.1,0.0,High,0.0,0.0,01-01-2017,Italy,60.0,27.0,-0.17,1
100,,CAN,38.0,-15.91,,North America,,9.0,14.3,63.2,,-106.34,94.7,56.13,,0.0,High,0.0,0.0,20190922,Canada,38.0,180.0,,1
101,0.0,PAK,52.0,4.05,90.5  ,South Asia,3997.0,12.0,48.4,82.0,,69.34,,30.37,54.9,0.0,Lower-Middle,0.0,0.0,31/12/2017,Pakistan,225.0,142.0,-0.42,1
102,no,USA,34.0,-8.29,70.5,North America,73261.0,8.0,29.8,,2022.0,-95.71,94.4,37.09,83.6,0.0,High,0.0,0.0,28-Aug-2022,United States,331.0,90.0,0.46,0
103,0.0,ARG,3.0,43.466,63.3,SA,13531.0,1.0,110.9,78.3,2017.0,-63.61,93.1,-38.41,56.3,0.0,Upper-Middle,0.0,0.0,20170122,Argentina,45.0,93.0,,2
104,0.0,CAN,18.0,-2.79,39.4,North America,43476.0,5.0,129.4,,1900,,100.0,56.13,86.4,0.0,High,,2.0,"May 08, 2022",Canada,,58.0,,2
105,0.0,JAPAN,3.0,6.23,17.7,East Asia,74316.0,1.0,,,2023.0,,,36.2,86.0,0.0,High,0.0,0.0,01-22-2023,Japan,126.0,15.0,0.33,1
106,0.0,FRA,39.0,-10.83,4.7,European Union,65570.0,9.0,44.6,75.2,2019.0,2.21,,46.22,87.1,0.0,High,0.0,0.0,  2019/09/29,France,,8.0,-0.28,0
107,no,GBR,48.0,-8.78,48.1,Europe,58680.0,11.0,56.0,,2015.0,-3.43,,55.37,89.1,0.0,High,0.0,0.0,11-29-2015,United Kingdom,67.0,55.0,0.65,1
108,0.0,AUS,9.0,17.06,64.3,oceania,50253.0,3.0,120.8,65.3,2023.0,,100.0,-25.27,,,High,0.0,0.0,20230305,Australia,26.0,104.0,,2
109,,CAN,,-1.37,84.9,NA,45748.0,5.0,49.4,63.7,2025.0,-106.34,,56.13,,FALSE,High,0.0,0.0,20250504,Canada,38.0,139.0,-0.07,2
110,False,JPN,24.0,3.54,0.2,EAST ASIA,72290.0,6.0,81.3,,,138.25,96.1,36.2,,0.0,High,,0.0,2021-06-20,Nippon,126.0,18.0,-0.66,0
111,0.0,NGA,46.0,62.275999999999996,98.5,africa,2465.0,11.0,17.5,75.6,2015.0,8.67,,9.08,,0.0,LOWER-MIDDLE,0.0,0.0,2015/11/15,Nigeria,206.0,-77.4307453816433,-0.24,1
112,0.0,CHN,37.0,-4.63,58.7,East Asia,11974.0,9.0,7.6,66.0,2016.0,104.19,,35.86,69.8,0.0,Upper-Middle,0.0,,736225,China,1411.0,112.0,-0.38,1
113,0.0,NGA,15.0,27.83,89.2,Africa,2485.0,4.0,96.8,61.4,2016.0,8.67,,9.08,39.8,0.0,Lower-Middle,0.0,0.0,2016-04-17,Nigeria,206.0,147.0,0.11,3
114,0.0,BRA,13.0,,63.9,SOUTH AMERICA,15511.0,4.0,,,2023.0,-51.92,,231.58717233581947,63.0,0.0,Developing,1.0,1.0,02/04/2023,Brazil,213.0,103.0,0.92,3
115,0.0,MEX,27.0,,92.9,North America,,7.0,105.0,,2020.0,-102.55,,23.63,60.4,0.0,Upper-Middle,0.0,0.0,2020/07/05,Mexico,129.0,115.0,0.58,1
116,0.0,FRA,40.0,-11.44,46.8,Europe,62077.0,10.0,50.9,85.5,2016.0,2.21,100.0,46.22,85.5,0.0,,0.0,0.0,09-Oct-2016,france,65.0,56.0,0.22,0
117,,DEU,52.0,-6.8,10.7,  Europe,77553.0,,159.9,69.4,2024.0,,100.0,,,0.0,High,0.0,0.0,"December 29, 2024",Germany,83.0,23.0,,0
118,,THA,43.0,11.76,73.4,southeast asia,17497.0,10.0,  9.4  ,66.0,2024.0,100.99,,15.87,61.1,0.0,Upper-Middle,0.0,0.0,2024-10-27,Thailand,,118.0,0.33,1
119,0.0,MEX,2.0,12.76,24.0,North America,14923.0,,83.1,63.9,2016.0,-102.55,,23.63,62.0,0.0,Developing,,0.0,"January 17, 2016",Mexico,129.0,,0.74,0
120,0.0,USA,30.0,-1.65,84.1  ,North America,,,40.7,69.4,2020.0,-95.71,100.0,37.09,79.8,0.0,High,0.0,0.0,26/07/2020,United States,331.0,109.0,1.08,1
121,no,BRA,41.0,6.56,28.1,South America,14315.0,10.0,40.1,,2018.0,-51.92,95.8,-14.23,67.6,0.0,Developing,0.0,0.0,14/10/2018,Brazil,213.0,56.0,-0.77,0
122,,MEX,15.0,17.69,74.2,North America,16457.0,4.0,  149.0,70.7,2021.0,-102.55,88.0,23.63,,0.0,Upper-Middle,1.0,1.0,737898,Mexico,129.0,99.0,1.02,2
123,0.0,  ZAF  ,16.0,15.4,15.5,Afriia,8726.0,4.0,170.8	,71.2,2015.0,22.93,93.4,-30.55,,0.0,Upper-Middle,1.0,1.0,19/04/2015,SOUTH AFRICA,60.0,37.0,-0.03,2
124,0.0,EGY,,,150.4,Africa,4363.0,9.0,,67.0,,30.8,87.5,26.82,43.9,0.0,Lower-Middle,0.0,0.0,20220918,Egypt,102.0,230.0,-0.05,2
125,,PHL  ,13.0,25.93,153.2,Southeast Asia,2887.0,January,97.8,61.8,2015.0,121.77,,12.87,,0.0,lower-middle,1.0,1.0,03-29-2015,Philippines,,212.0,-0.66,3
126,0.0,COL,5.0,29.93,36.8,SA,9473.0,2.0,73.6,68.6,2020.0,-74.29,100.0,4.57,69.8,0.0,Upper-Middle,0.0,0.0,02-02-2020,Colombia,51.0,80.0,-0.55,3
127,0.0,BGD,38.0,1.32,97.4,South Asia,1898.0,9.0,2.716535433070866,66.0,2025.0,90.35,84.2,23.68,,0.0,Lower-Middle,0.0,0.0,739515,Bangladesh,165.0,157.0,0.14,2
128,0.0,PAK,42.0,-0.46,132.1,south asia,4211.0,10.0,81.8,74.0,2020.0,69.34,,30.37,52.4,0.0,Lower-Middle,0.0,0.0,20201018,Pakistan,225.0,196.0,-0.08,1
129,No,CHN,36.0,missing,40.3,East Asia,12437.0,9.0,48.8,71.3,,104.19,,35.86,72.0,FALSE,Upper-Middle,0.0,0.0,09-09-2018,China,1411.0,,-0.01,0
130,0.0,ITA,47.0,-2.79,,Europe,48677.0,11.0,136.1,64.8,2023.0,12.56,100.0,41.87,,0.0,High,0.0,0.0,26-Nov-2023,Italy,,32.0,1.05,0
131,0.0,NGA,,15.64,114.1,Africa  ,2501.0,8.0,68.3,62.5,2016.0,8.67,85.6,9.08,35.9,0.0,Lower-Middle,0.0,,20160828,Nigeria,206.0,,-0.11,1
132,,NGA,52.0,21.42,56.8,Africa,2566.0,12.0,69.1,70.7,2017.0,8.67,88.2,9.08,,0.0,Lower Middle,0.0,0.0,31.12.2017,Nigeria,206.0,89.0,0.46,3
133,0.0,GBR,46.0,-14.85,23.4,Europe,63290.0,11.0,100.0,68.0,2019.0,-3.43,,55.37,87.5,0.0,High,0.0,0.0,"November 17, 2019",United Kingdom,67.0,53.0,0.74,0
134,0.0,AUS,17.0,18.07,40.9,Oceania,44358.0,5.0,46.0,66.5,2016.0,133.77,99.6,-25.27,76.0,0.0,High,0.0,0.0,20160501,Australia,26.0,,0.03,1
135,0.0,CAN,,-3.62,52.9,North America,42467.0,1.0,97.4,,2021.0,-106.34,100.0,,81.1,0.0,High,0.0,0.0,"January 24, 2021",Canada,38.0,85.0,0.7,1
